nokta_no,x,y,count,sezon_dakikasi
1,52,93,1,1781
2,52,89,1,1781
3,52,12,1,1781
4,52,69,1,1781
5,52,30,1,1781
6,52,56,1,1781
7,52,41,2,1781
8,52,2,1,1781
9,52,34,1,1781
10,52,48,1,1781
11,52,68,2,1781
12,52,16,2,1781
13,52,10,1,1781
14,52,19,1,1781
15,52,59,1,1781
16,52,72,1,1781
17,52,58,1,1781
18,52,4,1,1781
19,52,23,1,1781
20,52,53,1,1781
21,52,40,1,1781
22,43,76,1,1781
23,43,3,1,1781
24,43,87,1,1781
25,43,16,1,1781
26,43,66,1,1781
27,43,33,3,1781
28,43,27,3,1781
29,43,47,1,1781
30,43,65,2,1781
31,43,61,2,1781
32,43,50,2,1781
33,43,72,1,1781
34,43,13,1,1781
35,43,69,1,1781
36,43,31,1,1781
37,43,32,1,1781
38,43,62,1,1781
39,43,9,1,1781
40,43,75,1,1781
41,43,19,1,1781
42,43,48,1,1781
43,43,90,1,1781
44,43,52,1,1781
45,43,11,1,1781
46,43,4,1,1781
47,43,64,1,1781
48,42,77,1,1781
49,42,51,1,1781
50,42,36,2,1781
51,42,90,1,1781
52,42,31,2,1781
53,42,53,1,1781
54,42,22,1,1781
55,42,79,2,1781
56,42,62,1,1781
57,42,68,1,1781
58,42,41,2,1781
59,42,37,1,1781
60,42,52,1,1781
61,42,38,1,1781
62,42,64,1,1781
63,42,23,1,1781
64,42,26,1,1781
65,93,45,1,1781
66,30,74,1,1781
67,30,76,4,1781
68,30,92,1,1781
69,30,49,2,1781
70,30,40,1,1781
71,30,30,1,1781
72,30,67,1,1781
73,30,13,1,1781
74,30,64,1,1781
75,30,50,1,1781
76,30,63,2,1781
77,30,31,1,1781
78,30,35,1,1781
79,30,77,1,1781
80,30,46,1,1781
81,30,38,1,1781
82,30,75,2,1781
83,30,17,1,1781
84,30,53,1,1781
85,30,79,1,1781
86,30,28,1,1781
87,30,90,1,1781
88,30,57,1,1781
89,30,24,2,1781
90,30,15,1,1781
91,30,11,1,1781
92,68,77,1,1781
93,68,68,1,1781
94,68,66,1,1781
95,68,52,1,1781
96,68,37,1,1781
97,68,49,1,1781
